                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0437,                  4.278,                 1.4675,                0.03034,                0.89828,                0.15796,                0.11912,                0.81756,                 3.2479,                 1.2915,             0.00010983,             0.00010983,             0.00010983
                      2,                0.90029,                 3.5036,                 1.3606,                0.39242,                0.43951,                0.37341,                0.28161,                0.92616,                 2.2871,                 1.3821,              0.0002201,              0.0002201,              0.0002201
                      3,                0.90367,                  2.988,                 1.3555,                0.40051,                0.52853,                0.53223,                0.37816,                 1.1087,                 1.9231,                 1.5703,             0.00032964,             0.00032964,             0.00032964
                      4,                0.88354,                 2.6715,                 1.3203,                0.49337,                0.59453,                0.63458,                  0.502,                0.87627,                 1.6966,                 1.3106,              0.0003297,              0.0003297,              0.0003297
                      5,                0.82468,                 2.3558,                 1.2585,                0.63477,                0.70265,                0.76747,                0.61274,                0.88811,                 1.5299,                 1.3382,              0.0003286,              0.0003286,              0.0003286
                      6,                0.81652,                 2.0884,                 1.2438,                0.65616,                0.76136,                0.82025,                0.63634,                0.96492,                 1.2948,                 1.3901,             0.00032751,             0.00032751,             0.00032751
                      7,                0.80739,                 1.9911,                 1.2382,                 0.6599,                0.76539,                0.85786,                0.70555,                0.75791,                 1.2975,                 1.2039,             0.00032641,             0.00032641,             0.00032641
                      8,                0.79304,                 1.8094,                 1.2182,                0.83906,                0.73108,                0.87135,                0.69829,                  0.867,                 1.0817,                 1.2806,             0.00032531,             0.00032531,             0.00032531
                      9,                0.78005,                  1.705,                 1.2159,                0.77983,                0.79122,                0.89088,                0.68423,                0.95706,                0.98844,                 1.3431,             0.00032421,             0.00032421,             0.00032421
                     10,                0.74877,                 1.6267,                 1.1971,                0.81943,                0.79525,                 0.8891,                0.67303,                 0.9777,                 1.0103,                 1.4118,             0.00032311,             0.00032311,             0.00032311
                     11,                0.76086,                 1.5522,                 1.1904,                0.87017,                0.77783,                0.89594,                0.65616,                 1.0542,                0.97546,                 1.4723,             0.00032201,             0.00032201,             0.00032201
                     12,                0.74986,                 1.4729,                 1.1877,                0.83085,                0.84182,                 0.9121,                0.69499,                 1.0092,                0.88334,                 1.3807,             0.00032091,             0.00032091,             0.00032091
                     13,                0.74299,                 1.4522,                 1.1866,                 0.8696,                0.80192,                0.90152,                0.74566,                0.78484,                0.88158,                 1.2156,             0.00031981,             0.00031981,             0.00031981
                     14,                0.72564,                 1.3679,                 1.1729,                 0.8648,                0.82192,                0.91718,                0.73151,                0.90973,                0.83295,                 1.3159,             0.00031871,             0.00031871,             0.00031871
                     15,                0.72083,                 1.3411,                 1.1689,                0.84223,                0.80267,                0.91088,                0.72942,                0.89389,                  0.921,                 1.3313,             0.00031762,             0.00031762,             0.00031762
                     16,                0.71089,                 1.2855,                 1.1584,                0.83452,                0.86005,                0.93358,                0.72653,                0.91735,                 0.8155,                 1.3445,             0.00031652,             0.00031652,             0.00031652
                     17,                0.69993,                 1.2779,                 1.1521,                0.85094,                0.86402,                 0.9357,                0.70606,                 1.0365,                0.79988,                 1.4418,             0.00031542,             0.00031542,             0.00031542
                     18,                0.71439,                 1.2281,                 1.1585,                0.87022,                0.85871,                0.93008,                0.76281,                 0.8134,                0.73548,                 1.2298,             0.00031432,             0.00031432,             0.00031432
                     19,                0.69785,                 1.1776,                 1.1574,                0.87101,                0.86358,                0.92412,                0.72432,                0.91172,                0.74681,                 1.3143,             0.00031322,             0.00031322,             0.00031322
                     20,                0.70194,                 1.1582,                 1.1468,                0.90615,                0.85711,                0.93716,                0.76877,                 0.8288,                0.73416,                 1.2391,             0.00031212,             0.00031212,             0.00031212
                     21,                0.69412,                 1.1368,                 1.1449,                 0.8702,                0.89335,                 0.9387,                0.76791,                0.80085,                0.70166,                 1.2231,             0.00031102,             0.00031102,             0.00031102
                     22,                0.69113,                 1.0664,                 1.1493,                0.85471,                0.89138,                 0.9424,                0.70283,                 1.0804,                0.79599,                 1.4517,             0.00030992,             0.00030992,             0.00030992
                     23,                0.69307,                  1.062,                 1.1381,                0.92799,                0.82226,                0.92823,                0.72661,                0.94851,                 0.7419,                 1.3436,             0.00030882,             0.00030882,             0.00030882
                     24,                  0.686,                  1.055,                 1.1386,                0.88654,                0.85636,                0.94546,                0.73569,                 1.0084,                0.75406,                 1.4239,             0.00030773,             0.00030773,             0.00030773
                     25,                0.66918,                 1.0259,                 1.1233,                0.91449,                0.86277,                 0.9491,                0.78235,                0.80612,                0.66767,                 1.2012,             0.00030663,             0.00030663,             0.00030663
                     26,                0.67005,                      1,                 1.1235,                0.94242,                0.86955,                0.96206,                0.79381,                0.79358,                0.63954,                 1.2139,             0.00030553,             0.00030553,             0.00030553
                     27,                0.66128,                0.97108,                 1.1219,                0.91313,                0.81367,                0.93805,                0.76839,                0.79391,                0.70016,                 1.2358,             0.00030443,             0.00030443,             0.00030443
                     28,                0.67813,                0.99031,                 1.1355,                0.88706,                0.88728,                0.94285,                0.77255,                0.83124,                0.71183,                 1.2306,             0.00030333,             0.00030333,             0.00030333
                     29,                0.64685,                0.94349,                 1.1103,                 0.9022,                0.87311,                0.94548,                0.74534,                0.92622,                0.70589,                 1.3431,             0.00030223,             0.00030223,             0.00030223
                     30,                0.67393,                0.97078,                 1.1316,                0.87751,                0.87181,                0.95006,                0.76291,                 0.9064,                0.68955,                 1.2838,             0.00030113,             0.00030113,             0.00030113
                     31,                0.66601,                0.94215,                  1.128,                0.92348,                0.87464,                0.95263,                  0.795,                0.78498,                0.62742,                    1.2,             0.00030003,             0.00030003,             0.00030003
                     32,                0.65101,                0.88002,                 1.1058,                0.84989,                0.84316,                0.92385,                0.72675,                0.92005,                0.77917,                 1.3352,             0.00029893,             0.00029893,             0.00029893
                     33,                0.65053,                 0.9267,                  1.115,                0.84794,                0.84243,                0.94231,                0.72467,                 0.9438,                0.74343,                 1.3592,             0.00029784,             0.00029784,             0.00029784
                     34,                0.63565,                0.86531,                 1.1037,                0.88689,                0.86795,                0.93584,                0.73115,                0.95528,                0.71026,                 1.3844,             0.00029674,             0.00029674,             0.00029674
                     35,                 0.6433,                0.84904,                 1.1125,                0.90285,                0.86089,                0.93592,                0.72914,                0.93231,                0.68571,                 1.3289,             0.00029564,             0.00029564,             0.00029564
                     36,                0.64046,                0.86461,                  1.108,                0.87308,                0.87471,                0.94166,                0.77224,                0.84896,                0.73881,                 1.2588,             0.00029454,             0.00029454,             0.00029454
                     37,                 0.6416,                0.85322,                 1.1028,                0.93677,                0.87155,                0.95758,                0.77612,                0.89053,                0.62624,                 1.3088,             0.00029344,             0.00029344,             0.00029344
                     38,                 0.6306,                0.84073,                 1.1017,                0.95232,                0.85401,                 0.9444,                 0.7561,                0.89773,                0.65649,                 1.3005,             0.00029234,             0.00029234,             0.00029234
                     39,                 0.6398,                0.80347,                 1.1097,                0.92663,                0.89438,                0.96705,                0.77178,                0.89165,                0.63629,                 1.2832,             0.00029124,             0.00029124,             0.00029124
                     40,                0.62012,                0.80633,                 1.0982,                0.90563,                0.86452,                0.95156,                 0.7599,                0.86826,                0.65892,                 1.2706,             0.00029014,             0.00029014,             0.00029014
                     41,                 0.6399,                0.79597,                 1.1046,                0.92311,                0.82246,                0.92893,                0.72477,                0.97563,                0.75752,                  1.379,             0.00028904,             0.00028904,             0.00028904
                     42,                0.61729,                0.77512,                 1.0936,                0.89604,                0.81298,                0.92693,                0.74385,                0.86775,                0.70489,                 1.2735,             0.00028795,             0.00028795,             0.00028795
                     43,                0.63491,                0.77878,                 1.0959,                0.89709,                0.86446,                0.94172,                0.78052,                0.79147,                0.69645,                 1.2315,             0.00028685,             0.00028685,             0.00028685
                     44,                0.64275,                0.79518,                  1.111,                0.91755,                0.86409,                0.94756,                0.75419,                0.86963,                0.66792,                 1.2893,             0.00028575,             0.00028575,             0.00028575
                     45,                 0.6174,                0.76346,                 1.0937,                0.87234,                0.88493,                0.93774,                0.75549,                0.84565,                0.65807,                  1.268,             0.00028465,             0.00028465,             0.00028465
                     46,                 0.6286,                0.73977,                 1.1029,                0.86914,                 0.8729,                0.91639,                0.72665,                0.90587,                0.68998,                 1.3046,             0.00028355,             0.00028355,             0.00028355
                     47,                0.63816,                 0.7539,                 1.1028,                0.92225,                0.85376,                0.94483,                0.72924,                 0.9476,                0.69851,                 1.3838,             0.00028245,             0.00028245,             0.00028245
                     48,                 0.6212,                0.73721,                 1.0951,                0.89933,                0.84776,                 0.9219,                0.73962,                0.86668,                0.68331,                 1.2826,             0.00028135,             0.00028135,             0.00028135
                     49,                0.61178,                0.69556,                  1.082,                0.89507,                0.83635,                0.92163,                0.74995,                0.84093,                0.71612,                 1.2461,             0.00028025,             0.00028025,             0.00028025
                     50,                0.61746,                0.71845,                 1.0899,                0.91331,                0.86268,                0.93905,                0.76326,                 0.8344,                 0.6422,                  1.268,             0.00027915,             0.00027915,             0.00027915
                     51,                0.60517,                0.70974,                 1.0857,                0.92574,                0.88716,                0.92901,                0.73131,                0.93295,                0.67495,                 1.3573,             0.00027806,             0.00027806,             0.00027806
                     52,                0.60041,                0.69289,                 1.0872,                0.91919,                0.85513,                0.94751,                0.79207,                0.77871,                0.64906,                 1.1921,             0.00027696,             0.00027696,             0.00027696
                     53,                 0.6067,                 0.6994,                 1.0891,                0.89502,                0.83826,                0.93579,                0.74925,                 0.8813,                0.67363,                 1.3082,             0.00027586,             0.00027586,             0.00027586
                     54,                0.60578,                0.70597,                 1.0808,                0.87293,                0.88312,                0.93648,                0.75657,                0.89631,                0.68607,                 1.3074,             0.00027476,             0.00027476,             0.00027476
                     55,                0.59889,                0.68718,                 1.0769,                0.91015,                0.87393,                0.93491,                0.75054,                0.88165,                0.63607,                 1.3107,             0.00027366,             0.00027366,             0.00027366
                     56,                0.60965,                0.68899,                  1.087,                0.86385,                0.89743,                0.94688,                0.77559,                0.82578,                0.61014,                 1.2553,             0.00027256,             0.00027256,             0.00027256
                     57,                 0.5952,                0.66146,                 1.0722,                0.89356,                0.87579,                0.93746,                0.73763,                0.96034,                0.66403,                 1.3757,             0.00027146,             0.00027146,             0.00027146
                     58,                0.60452,                0.69263,                 1.0844,                0.90516,                0.86741,                0.94661,                 0.7435,                0.92899,                0.61293,                 1.3385,             0.00027036,             0.00027036,             0.00027036
                     59,                0.58433,                0.66703,                 1.0705,                0.93091,                0.87124,                0.95686,                0.75955,                0.92374,                 0.6098,                 1.3331,             0.00026926,             0.00026926,             0.00026926
                     60,                0.58726,                0.65632,                 1.0782,                0.89662,                0.87675,                0.91533,                0.72137,                 0.9312,                0.67972,                 1.3857,             0.00026816,             0.00026816,             0.00026816
                     61,                0.59152,                0.64799,                 1.0794,                0.90187,                0.89525,                0.95758,                0.76458,                0.90323,                0.59102,                 1.3251,             0.00026707,             0.00026707,             0.00026707
                     62,                0.58655,                 0.6501,                 1.0752,                0.90955,                0.85958,                0.94319,                0.76626,                 0.8361,                0.64747,                 1.2474,             0.00026597,             0.00026597,             0.00026597
                     63,                0.58695,                0.63928,                 1.0829,                0.88595,                0.88007,                0.93187,                0.76222,                0.83592,                0.67343,                 1.2523,             0.00026487,             0.00026487,             0.00026487
                     64,                0.59013,                0.64798,                 1.0725,                0.88472,                 0.8737,                0.93998,                0.75166,                0.89188,                0.66513,                 1.3355,             0.00026377,             0.00026377,             0.00026377
                     65,                0.59408,                0.63139,                 1.0787,                0.91701,                0.87608,                0.92676,                0.75294,                0.84778,                0.65922,                   1.28,             0.00026267,             0.00026267,             0.00026267
                     66,                0.56969,                0.61076,                  1.069,                0.90833,                0.86822,                0.94354,                0.78879,                0.79521,                0.60732,                 1.2098,             0.00026157,             0.00026157,             0.00026157
                     67,                0.57959,                0.63114,                 1.0787,                0.92015,                0.86042,                0.93892,                0.77713,                0.81617,                0.66418,                 1.2343,             0.00026047,             0.00026047,             0.00026047
                     68,                0.57212,                0.58642,                 1.0661,                0.88381,                0.88133,                0.93506,                0.77926,                0.77158,                0.61078,                 1.1965,             0.00025937,             0.00025937,             0.00025937
                     69,                0.56793,                0.60936,                 1.0632,                0.87449,                0.83007,                0.91988,                0.76599,                 0.7574,                0.62862,                 1.2123,             0.00025827,             0.00025827,             0.00025827
                     70,                0.56533,                0.60085,                 1.0634,                0.91236,                0.83562,                0.92484,                0.76986,                 0.7971,                0.62744,                 1.2347,             0.00025718,             0.00025718,             0.00025718
                     71,                0.57713,                0.60571,                 1.0728,                0.89345,                0.88007,                0.94962,                0.78291,                0.82189,                0.57278,                  1.242,             0.00025608,             0.00025608,             0.00025608
                     72,                0.56057,                0.58637,                 1.0611,                0.91423,                0.85137,                0.93615,                0.75065,                 0.8572,                0.65943,                 1.3199,             0.00025498,             0.00025498,             0.00025498
                     73,                0.57802,                0.60724,                  1.066,                0.89688,                0.85959,                0.94533,                0.77934,                0.80128,                0.57096,                 1.2354,             0.00025388,             0.00025388,             0.00025388
                     74,                0.56482,                0.59871,                 1.0578,                0.87089,                0.90578,                0.96434,                0.78148,                0.85757,                0.55195,                  1.281,             0.00025278,             0.00025278,             0.00025278
                     75,                0.56227,                0.57751,                 1.0577,                0.89488,                0.88756,                0.95259,                0.77691,                0.84563,                 0.5716,                 1.2637,             0.00025168,             0.00025168,             0.00025168
                     76,                0.56027,                0.55926,                 1.0521,                0.89209,                0.87032,                0.94193,                0.75586,                0.89152,                0.60571,                 1.3135,             0.00025058,             0.00025058,             0.00025058
                     77,                0.56994,                  0.571,                 1.0687,                0.91358,                0.88853,                0.94671,                0.77117,                0.83381,                 0.5852,                  1.271,             0.00024948,             0.00024948,             0.00024948
                     78,                0.56457,                0.55978,                 1.0558,                0.94559,                0.85679,                0.94893,                0.78539,                0.76149,                0.55723,                 1.1916,             0.00024838,             0.00024838,             0.00024838
                     79,                0.55815,                0.54985,                 1.0602,                0.90309,                 0.8784,                0.95005,                 0.7744,                0.83111,                 0.5724,                 1.2692,             0.00024729,             0.00024729,             0.00024729
                     80,                0.57084,                0.57249,                 1.0638,                0.88949,                0.86873,                0.94601,                0.78087,                0.79094,                0.58397,                 1.2392,             0.00024619,             0.00024619,             0.00024619
                     81,                0.55734,                0.55168,                 1.0538,                0.90152,                0.87715,                0.93061,                0.76489,                0.81732,                 0.6118,                 1.2736,             0.00024509,             0.00024509,             0.00024509
                     82,                0.57237,                0.56292,                 1.0642,                0.87998,                0.88647,                0.93472,                0.75527,                0.84602,                0.60352,                 1.2882,             0.00024399,             0.00024399,             0.00024399
                     83,                0.57027,                0.55984,                  1.061,                0.89462,                 0.8944,                 0.9306,                0.76392,                0.81271,                0.60928,                 1.2564,             0.00024289,             0.00024289,             0.00024289
                     84,                0.52895,                0.54773,                 1.0481,                0.90295,                0.89381,                0.96231,                0.76442,                0.91994,                0.60375,                 1.3553,             0.00024179,             0.00024179,             0.00024179
                     85,                0.54443,                0.54359,                 1.0526,                0.88747,                0.90513,                 0.9586,                0.77463,                0.84193,                 0.5797,                 1.2967,             0.00024069,             0.00024069,             0.00024069
                     86,                0.56144,                 0.5439,                 1.0623,                0.87496,                 0.9085,                0.95543,                0.78547,                0.81568,                0.59189,                 1.2598,             0.00023959,             0.00023959,             0.00023959
                     87,                0.54791,                 0.5345,                 1.0512,                0.91497,                0.88574,                0.93124,                0.72963,                0.94311,                0.60646,                 1.3893,             0.00023849,             0.00023849,             0.00023849
                     88,                0.53956,                  0.515,                 1.0458,                0.94798,                0.90219,                0.97231,                0.79866,                0.78372,                0.52109,                 1.2147,              0.0002374,              0.0002374,              0.0002374
                     89,                0.55577,                0.54483,                 1.0543,                0.90637,                0.88609,                0.96547,                0.78238,                0.84797,                0.59029,                 1.2701,              0.0002363,              0.0002363,              0.0002363
                     90,                 0.5538,                0.55404,                 1.0586,                0.94692,                0.86349,                 0.9631,                0.80308,                0.76775,                0.55945,                 1.2253,              0.0002352,              0.0002352,              0.0002352
                     91,                0.55246,                0.53437,                 1.0456,                0.92033,                0.87841,                0.94294,                0.78712,                0.77482,                0.60543,                 1.2094,              0.0002341,              0.0002341,              0.0002341
                     92,                0.54217,                0.53273,                 1.0434,                0.93896,                0.89144,                0.94962,                0.76291,                0.88141,                0.58286,                 1.3121,               0.000233,               0.000233,               0.000233
                     93,                0.55406,                0.53294,                 1.0551,                0.89388,                0.88108,                 0.9241,                0.74744,                0.85988,                0.65279,                 1.3026,              0.0002319,              0.0002319,              0.0002319
                     94,                0.55181,                0.53979,                   1.06,                0.90816,                0.89074,                0.93846,                0.75511,                0.88378,                 0.6219,                 1.3004,              0.0002308,              0.0002308,              0.0002308
                     95,                0.54237,                0.52842,                 1.0518,                0.91036,                0.88995,                0.94691,                0.77571,                0.83613,                0.61367,                 1.2621,              0.0002297,              0.0002297,              0.0002297
                     96,                0.54901,                0.53371,                 1.0543,                0.91136,                0.88525,                0.94631,                0.76016,                0.87689,                0.60843,                 1.3409,              0.0002286,              0.0002286,              0.0002286
                     97,                0.54023,                0.52219,                 1.0483,                0.88918,                0.88418,                0.93399,                0.73494,                0.93998,                0.66733,                 1.4032,             0.00022751,             0.00022751,             0.00022751
                     98,                0.53067,                0.51171,                 1.0392,                0.93485,                0.87031,                0.94622,                0.76054,                0.91089,                0.56649,                 1.3462,             0.00022641,             0.00022641,             0.00022641
                     99,                0.52547,                0.50656,                 1.0435,                0.86386,                0.89367,                0.94908,                0.78642,                0.78924,                0.61193,                 1.2326,             0.00022531,             0.00022531,             0.00022531
                    100,                0.53639,                0.51121,                 1.0459,                0.90033,                0.92653,                0.96871,                0.80394,                 0.7839,                0.53667,                 1.2317,             0.00022421,             0.00022421,             0.00022421
                    101,                0.53832,                0.49729,                 1.0452,                0.93172,                0.87051,                0.95693,                0.78102,                0.82914,                0.57726,                 1.2638,             0.00022311,             0.00022311,             0.00022311
                    102,                0.52746,                0.48198,                 1.0381,                0.90132,                0.88786,                 0.9468,                0.77379,                0.82803,                0.56983,                 1.2865,             0.00022201,             0.00022201,             0.00022201
                    103,                0.52533,                0.49413,                 1.0322,                0.92916,                0.85823,                0.95323,                0.78329,                0.85503,                0.58245,                 1.3147,             0.00022091,             0.00022091,             0.00022091
                    104,                0.55538,                0.54348,                 1.0645,                0.91863,                0.88742,                 0.9493,                0.77009,                0.84628,                 0.5712,                 1.2776,             0.00021981,             0.00021981,             0.00021981
                    105,                0.52869,                0.50499,                 1.0376,                0.89184,                0.90106,                0.95289,                0.79143,                0.78439,                0.58238,                   1.21,             0.00021871,             0.00021871,             0.00021871
                    106,                0.54162,                0.50516,                 1.0507,                0.89117,                  0.901,                0.96254,                0.80573,                0.79199,                0.56762,                 1.2431,             0.00021762,             0.00021762,             0.00021762
                    107,                0.52422,                0.48588,                 1.0415,                0.93111,                 0.8474,                0.94943,                0.78765,                0.79077,                0.56547,                 1.2246,             0.00021652,             0.00021652,             0.00021652
                    108,                0.53623,                0.48651,                 1.0458,                0.92037,                0.90355,                0.96847,                0.79959,                0.82647,                0.49848,                 1.2813,             0.00021542,             0.00021542,             0.00021542
                    109,                0.54513,                0.50317,                 1.0496,                0.90948,                0.89003,                0.96668,                0.78967,                0.83241,                 0.5663,                 1.2687,             0.00021432,             0.00021432,             0.00021432
                    110,                0.53252,                0.48606,                 1.0397,                0.90139,                0.90208,                0.96705,                0.78166,                0.81773,                0.55856,                 1.2608,             0.00021322,             0.00021322,             0.00021322
                    111,                0.52893,                0.49153,                 1.0385,                0.91254,                0.89689,                0.94659,                0.76346,                0.89474,                0.57387,                 1.3415,             0.00021212,             0.00021212,             0.00021212
                    112,                0.53554,                0.47286,                 1.0426,                0.91593,                0.90409,                0.95748,                0.74909,                0.92956,                0.58436,                  1.397,             0.00021102,             0.00021102,             0.00021102
                    113,                0.52453,                0.49757,                 1.0381,                0.89317,                0.87447,                0.94237,                0.76965,                  0.822,                0.57974,                  1.292,             0.00020992,             0.00020992,             0.00020992
                    114,                0.52647,                 0.4861,                 1.0375,                0.91605,                0.85975,                0.94234,                0.76042,                0.86113,                0.60874,                  1.309,             0.00020882,             0.00020882,             0.00020882
                    115,                0.52123,                0.47346,                 1.0342,                0.87782,                 0.8662,                0.91962,                0.75995,                0.80383,                0.65656,                 1.2383,             0.00020773,             0.00020773,             0.00020773
                    116,                0.51145,                0.46634,                 1.0262,                0.91363,                0.86952,                0.93562,                0.75434,                0.84966,                0.60888,                  1.297,             0.00020663,             0.00020663,             0.00020663
                    117,                0.51554,                0.48321,                 1.0332,                0.91072,                0.86472,                0.93341,                0.76937,                0.80927,                0.59261,                 1.2557,             0.00020553,             0.00020553,             0.00020553
                    118,                0.51767,                0.47426,                 1.0316,                0.90415,                0.86136,                0.93437,                0.76489,                0.82531,                0.63142,                 1.2867,             0.00020443,             0.00020443,             0.00020443
                    119,                0.51466,                0.46369,                 1.0318,                0.85944,                0.89455,                0.93034,                0.76284,                0.82264,                0.62441,                 1.2865,             0.00020333,             0.00020333,             0.00020333
                    120,                0.51741,                0.46152,                 1.0363,                0.88835,                0.90633,                0.94972,                0.77666,                0.82016,                 0.5242,                 1.2744,             0.00020223,             0.00020223,             0.00020223
                    121,                0.52118,                0.47714,                 1.0351,                0.95305,                0.87762,                 0.9437,                0.77269,                 0.8196,                0.55023,                 1.2668,             0.00020113,             0.00020113,             0.00020113
                    122,                0.51204,                0.45798,                 1.0318,                0.91131,                0.89523,                 0.9412,                0.77303,                0.79578,                0.56215,                 1.2279,             0.00020003,             0.00020003,             0.00020003
                    123,                0.51017,                0.46382,                 1.0322,                0.93583,                 0.8954,                0.95241,                0.77473,                0.83687,                0.53877,                 1.2785,             0.00019893,             0.00019893,             0.00019893
                    124,                0.50296,                0.44357,                 1.0248,                0.91427,                0.87542,                0.93288,                0.76399,                0.82298,                0.54506,                 1.2699,             0.00019784,             0.00019784,             0.00019784
                    125,                0.51037,                0.45349,                 1.0333,                0.90788,                0.88575,                0.92558,                0.75253,                0.85208,                 0.6323,                 1.3135,             0.00019674,             0.00019674,             0.00019674
